N5325BAINITE,N5440MARTENSITE
4735.857599999999,35221.880000000005
4583.088,7638.4800000000005
15735.2688,5304.5
4888.6272,4455.780000000001
9624.4848,7956.75
16804.656,7638.4800000000005
4583.088,6683.670000000001
10846.6416,5834.95
4735.857599999999,12624.710000000001
18637.8912,3607.0600000000004
7791.249599999999,5834.95
7332.9408,7320.210000000001
5805.2447999999995,22491.080000000005
8402.328,3394.88
8249.5584,14746.51
9930.024,7638.4800000000005
7027.401599999999,5516.68
5346.935999999999,10078.550000000001
11610.489599999999,5198.410000000001
5805.2447999999995,5728.860000000001
5194.166399999999,4137.51
9930.024,8805.470000000001
5958.014399999999,3288.7900000000004
5499.7056,3607.0600000000004
8860.6368,11882.080000000002
9624.4848,3182.7000000000003
5958.014399999999,4031.42
38192.399999999994,3288.7900000000004
18637.8912,6259.31
4888.6272,3500.9700000000003
11457.72,8805.470000000001
4735.857599999999,4137.51
11152.1808,9017.65
9930.024,3182.7000000000003
7027.401599999999,8805.470000000001
5652.4752,6789.76
16346.3472,3607.0600000000004
7638.48,12730.800000000001
7944.0192,3925.3300000000004
10693.871999999998,5941.040000000001
8096.788799999999,8593.289999999999
4735.857599999999,6047.13
6721.8624,5304.5
9013.4064,5622.770000000001
4735.857599999999,3925.3300000000004
24901.444799999997,6683.670000000001
4735.857599999999,10609.0
5805.2447999999995,11669.9
8707.867199999999,3713.15
17721.2736,11139.45
5499.7056,3182.7000000000003
7638.48,6153.220000000001
18332.352,3607.0600000000004
5194.166399999999,13049.070000000002
19096.199999999997,3288.7900000000004
12221.568,9229.830000000002
5652.4752,4986.2300000000005
5499.7056,3925.3300000000004
6263.553599999999,31614.820000000003
4583.088,14003.880000000001
9166.176,6895.85
7332.9408,10502.91
8860.6368,8168.930000000001
6874.632,6259.31
5958.014399999999,15383.050000000001
13290.955199999999,5728.860000000001
10388.332799999998,3500.9700000000003
5346.935999999999,4455.780000000001
6263.553599999999,3925.3300000000004
20318.356799999998,4455.780000000001
7180.171199999999,3394.88
7485.7104,17186.579999999998
7180.171199999999,18353.570000000003
21540.5136,12094.26
7944.0192,4774.05
8402.328,5410.590000000001
11763.259199999999,3500.9700000000003
12832.6464,7108.030000000001
15582.499199999998,3819.2400000000002
7485.7104,9229.830000000002
5346.935999999999,13049.070000000002
6874.632,12836.890000000001
12527.107199999999,5304.5
4735.857599999999,16125.68
6569.092799999999,8593.289999999999
4735.857599999999,12412.53
7332.9408,5410.590000000001
5958.014399999999,3182.7000000000003
5652.4752,3713.15
7332.9408,7426.3
8249.5584,7532.390000000001
4735.857599999999,4243.6
5346.935999999999,13473.430000000002
7791.249599999999,9335.920000000002
9930.024,4349.6900000000005
9013.4064,3925.3300000000004
6569.092799999999,4455.780000000001
10846.6416,5941.040000000001
4735.857599999999,6365.400000000001
6721.8624,3500.9700000000003
7638.48,9972.460000000001
8402.328,3819.2400000000002
11152.1808,22384.99
11610.489599999999,14640.420000000002
7791.249599999999,6047.13
5346.935999999999,4137.51
34220.3904,10715.090000000002
16804.656,9654.19
10846.6416,4349.6900000000005
5652.4752,6047.13
4735.857599999999,11775.990000000002
6110.784,4137.51
7638.48,24718.970000000005
5652.4752,5410.590000000001
4735.857599999999,4349.6900000000005
11457.72,5410.590000000001
17721.2736,5410.590000000001
14360.342399999998,4137.51
9013.4064,5410.590000000001
12527.107199999999,16550.04
9013.4064,4137.51
6416.3232,5834.95
6416.3232,5198.410000000001
14054.803199999998,9654.19
8402.328,19732.74
7638.48,11139.45
11152.1808,9548.1
5499.7056,4349.6900000000005
4735.857599999999,5092.320000000001
9930.024,4137.51
6416.3232,40420.29000000001
4735.857599999999,19202.29
27498.528,3288.7900000000004
10388.332799999998,10184.640000000001
4735.857599999999,4031.42
9930.024,9866.37
6569.092799999999,13155.160000000002
13902.033599999999,4667.960000000001
15582.499199999998,16019.59
9013.4064,6895.85
7638.48,9335.920000000002
7791.249599999999,8593.289999999999
9624.4848,14109.970000000001
5194.166399999999,6471.490000000001
6569.092799999999,18459.660000000003
5194.166399999999,6259.31
9471.715199999999,4986.2300000000005
11457.72,6789.76
7485.7104,5622.770000000001
8096.788799999999,3713.15
4583.088,7744.570000000001
17110.1952,3288.7900000000004
7180.171199999999,5092.320000000001
16193.577599999999,5941.040000000001
6416.3232,9229.830000000002
17721.2736,4031.42
6874.632,9442.01
4583.088,5198.410000000001
8402.328,6471.490000000001
