N5325BAINITE,N5440MARTENSITE
5041.3967999999995,34797.520000000004
17110.1952,4137.51
5958.014399999999,4455.780000000001
10541.102399999998,9335.920000000002
4735.857599999999,6471.490000000001
5194.166399999999,4667.960000000001
12527.107199999999,5834.95
4735.857599999999,3288.7900000000004
5346.935999999999,8805.470000000001
10388.332799999998,5728.860000000001
15888.0384,14428.240000000002
17568.503999999997,6047.13
9166.176,6683.670000000001
5194.166399999999,5622.770000000001
5805.2447999999995,6577.580000000001
9471.715199999999,10502.91
6110.784,7532.390000000001
4583.088,12942.980000000001
5041.3967999999995,3713.15
5194.166399999999,3500.9700000000003
10235.563199999999,6259.31
15124.1904,8168.930000000001
9013.4064,8062.84
5194.166399999999,7320.210000000001
5499.7056,3713.15
11916.028799999998,10609.0
6721.8624,3288.7900000000004
4735.857599999999,3394.88
6110.784,9017.65
6874.632,3394.88
6874.632,7108.030000000001
9777.2544,8487.2
5194.166399999999,10290.730000000001
11152.1808,3819.2400000000002
11457.72,5834.95
6263.553599999999,3713.15
5041.3967999999995,4137.51
51483.3552,5516.68
4888.6272,3394.88
20623.896,5834.95
27651.297599999998,3925.3300000000004
12068.7984,8168.930000000001
7332.9408,3925.3300000000004
12985.416,23445.89
8555.0976,11351.630000000001
6263.553599999999,7426.3
18790.660799999998,10396.820000000002
8249.5584,3500.9700000000003
11916.028799999998,3288.7900000000004
8555.0976,3713.15
5346.935999999999,3925.3300000000004
12221.568,10927.27
5194.166399999999,4455.780000000001
9471.715199999999,6895.85
6874.632,9548.1
7485.7104,4774.05
5346.935999999999,11245.540000000003
28415.145599999996,6259.31
6263.553599999999,5622.770000000001
6721.8624,3288.7900000000004
9930.024,11139.45
6721.8624,3500.9700000000003
8096.788799999999,5410.590000000001
20012.8176,10184.640000000001
20165.587199999998,3288.7900000000004
4583.088,4031.42
5346.935999999999,12200.35
5652.4752,3182.7000000000003
14513.111999999997,9229.830000000002
6569.092799999999,4455.780000000001
6569.092799999999,4137.51
5652.4752,9017.65
6110.784,31084.370000000003
7180.171199999999,6577.580000000001
5194.166399999999,6789.76
10541.102399999998,9335.920000000002
10082.793599999999,10184.640000000001
4735.857599999999,14322.15
9471.715199999999,5834.95
5805.2447999999995,3394.88
8555.0976,3607.0600000000004
16651.8864,4031.42
6721.8624,3607.0600000000004
10999.4112,4349.6900000000005
5041.3967999999995,4031.42
5499.7056,20157.100000000002
24901.444799999997,13791.7
7332.9408,19202.29
7638.48,3500.9700000000003
6874.632,5092.320000000001
4735.857599999999,5198.410000000001
4583.088,15701.320000000002
5041.3967999999995,3288.7900000000004
7944.0192,4137.51
21234.9744,7214.120000000001
9166.176,13261.25
17721.2736,13685.61
8096.788799999999,10715.090000000002
13749.264,5410.590000000001
8555.0976,6047.13
6721.8624,17929.210000000003
7027.401599999999,9654.19
13596.4944,4880.14
5346.935999999999,3288.7900000000004
7944.0192,7638.4800000000005
4888.6272,5304.5
5041.3967999999995,5092.320000000001
7027.401599999999,8275.02
6569.092799999999,14534.330000000002
16193.577599999999,9654.19
9777.2544,6895.85
8555.0976,3713.15
5652.4752,13367.340000000002
8707.867199999999,5941.040000000001
10235.563199999999,22384.99
5194.166399999999,3500.9700000000003
10235.563199999999,10715.090000000002
7485.7104,4243.6
10999.4112,6153.220000000001
6721.8624,15170.87
8096.788799999999,3925.3300000000004
9013.4064,10715.090000000002
10999.4112,5622.770000000001
11916.028799999998,6259.31
8249.5584,4986.2300000000005
5805.2447999999995,10290.730000000001
4583.088,5622.770000000001
11610.489599999999,20369.280000000002
12221.568,3713.15
4888.6272,4986.2300000000005
18026.8128,25567.690000000002
6874.632,6577.580000000001
38803.47839999999,11669.9
5805.2447999999995,16337.860000000002
6569.092799999999,4243.6
8096.788799999999,4667.960000000001
5499.7056,5516.68
21540.5136,6365.400000000001
6569.092799999999,4880.14
12679.876799999998,13473.430000000002
15429.729599999999,5834.95
14360.342399999998,4349.6900000000005
5958.014399999999,28644.3
10235.563199999999,18671.840000000004
9318.9456,5304.5
4888.6272,4137.51
14665.8816,9866.37
6721.8624,42542.090000000004
5194.166399999999,5092.320000000001
8402.328,13579.52
8707.867199999999,20157.100000000002
4735.857599999999,10184.640000000001
11763.259199999999,11351.630000000001
5652.4752,5728.860000000001
6569.092799999999,6683.670000000001
11304.9504,9972.460000000001
7180.171199999999,3288.7900000000004
5652.4752,8593.289999999999
10388.332799999998,14109.970000000001
6721.8624,14216.060000000001
4735.857599999999,6789.76
29178.993599999998,3607.0600000000004
7485.7104,14958.690000000002
4583.088,6259.31
11457.72,4561.87
7944.0192,5516.68
10388.332799999998,5198.410000000001
5805.2447999999995,7744.570000000001
19554.5088,6365.400000000001
17262.964799999998,4986.2300000000005
10388.332799999998,9972.460000000001
5346.935999999999,3288.7900000000004
7791.249599999999,3819.2400000000002
6721.8624,9442.01
5346.935999999999,5622.770000000001
5652.4752,5834.95
6874.632,8168.930000000001
4735.857599999999,11563.810000000001
10235.563199999999,3394.88
8707.867199999999,4880.14
8555.0976,4455.780000000001
11152.1808,6683.670000000001
17415.734399999998,12730.800000000001
8707.867199999999,4667.960000000001
14665.8816,6047.13
7638.48,8805.470000000001
20165.587199999998,8168.930000000001
6874.632,5834.95
6721.8624,13897.790000000003
5499.7056,5728.860000000001
10082.793599999999,3500.9700000000003
7791.249599999999,5198.410000000001
13138.185599999999,4349.6900000000005
19401.739199999996,3819.2400000000002
10541.102399999998,3394.88
14054.803199999998,9335.920000000002
11457.72,3288.7900000000004
8707.867199999999,3288.7900000000004
11763.259199999999,31296.55
12679.876799999998,4349.6900000000005
10388.332799999998,3819.2400000000002
6416.3232,3288.7900000000004
5194.166399999999,3925.3300000000004
4583.088,5622.770000000001
5805.2447999999995,3288.7900000000004
10693.871999999998,9442.01
6416.3232,13049.070000000002
8249.5584,5941.040000000001
29637.3024,4774.05
8555.0976,5198.410000000001
8707.867199999999,5092.320000000001
7332.9408,12730.800000000001
10388.332799999998,6577.580000000001
15582.499199999998,6577.580000000001
7791.249599999999,9017.65
16804.656,6895.85
7791.249599999999,4137.51
6416.3232,5728.860000000001
8249.5584,11139.45
7638.48,31933.090000000004
8555.0976,5198.410000000001
5499.7056,3925.3300000000004
5346.935999999999,6471.490000000001
8402.328,4986.2300000000005
4583.088,4561.87
9471.715199999999,8062.84
10693.871999999998,4986.2300000000005
5041.3967999999995,9335.920000000002
5958.014399999999,4349.6900000000005
5652.4752,8699.380000000001
12832.6464,7001.9400000000005
9471.715199999999,8593.289999999999
14665.8816,5728.860000000001
7638.48,6471.490000000001
12985.416,4986.2300000000005
12221.568,6259.31
10693.871999999998,6259.31
7638.48,4986.2300000000005
7791.249599999999,4455.780000000001
14207.572799999998,4667.960000000001
6263.553599999999,6259.31
14971.4208,6365.400000000001
10693.871999999998,4349.6900000000005
5194.166399999999,3394.88
7027.401599999999,3288.7900000000004
14207.572799999998,4561.87
7638.48,4455.780000000001
13902.033599999999,11775.990000000002
7791.249599999999,8275.02
6110.784,3713.15
10235.563199999999,6471.490000000001
6874.632,10609.0
17415.734399999998,4667.960000000001
7791.249599999999,5834.95
14665.8816,5941.040000000001
5499.7056,4349.6900000000005
7638.48,12836.890000000001
5805.2447999999995,3288.7900000000004
5958.014399999999,7214.120000000001
9166.176,5516.68
9166.176,3607.0600000000004
5194.166399999999,7850.660000000001
5805.2447999999995,16762.22
8555.0976,3288.7900000000004
8860.6368,28432.120000000003
6721.8624,5410.590000000001
16346.3472,11351.630000000001
4583.088,3394.88
4735.857599999999,8805.470000000001
6416.3232,5834.95
6110.784,4455.780000000001
16804.656,10078.550000000001
4888.6272,16125.68
7485.7104,5092.320000000001
6110.784,3925.3300000000004
9471.715199999999,4774.05
10082.793599999999,5410.590000000001
9013.4064,8487.2
8096.788799999999,18565.750000000004
5041.3967999999995,11669.9
15276.96,6471.490000000001
7791.249599999999,19308.38
4735.857599999999,3607.0600000000004
4735.857599999999,8062.84
7638.48,7001.9400000000005
20012.8176,8487.2
6874.632,7744.570000000001
27345.758399999995,3288.7900000000004
7180.171199999999,7532.390000000001
17874.0432,19096.2
6721.8624,5304.5
5346.935999999999,6577.580000000001
6874.632,6471.490000000001
7332.9408,16762.22
6416.3232,4986.2300000000005
5958.014399999999,7108.030000000001
27345.758399999995,20263.19
10082.793599999999,5516.68
10388.332799999998,6365.400000000001
16804.656,4561.87
5346.935999999999,10821.180000000002
6874.632,3394.88
4888.6272,12094.26
7485.7104,7956.75
8707.867199999999,22278.9
6569.092799999999,4031.42
4888.6272,10821.180000000002
4583.088,4243.6
7027.401599999999,4031.42
10541.102399999998,3394.88
16346.3472,7426.3
4583.088,5728.860000000001
6569.092799999999,5834.95
8707.867199999999,3288.7900000000004
4583.088,5516.68
8707.867199999999,6365.400000000001
13443.7248,8275.02
6263.553599999999,7426.3
10082.793599999999,11775.990000000002
7485.7104,9760.28
9777.2544,3607.0600000000004
4735.857599999999,8487.2
7332.9408,11245.540000000003
10235.563199999999,9548.1
8860.6368,4774.05
8096.788799999999,6365.400000000001
4583.088,12306.440000000002
29178.993599999998,7320.210000000001
9777.2544,4031.42
4583.088,4561.87
7638.48,7214.120000000001
9777.2544,4986.2300000000005
8249.5584,3713.15
12527.107199999999,4774.05
15888.0384,4243.6
5041.3967999999995,4031.42
6569.092799999999,38722.850000000006
4735.857599999999,5516.68
16651.8864,3607.0600000000004
9930.024,4880.14
6721.8624,7001.9400000000005
14971.4208,6259.31
17721.2736,6365.400000000001
5346.935999999999,5728.860000000001
6416.3232,3713.15
5346.935999999999,7956.75
6263.553599999999,6047.13
20776.665599999997,4986.2300000000005
7332.9408,3713.15
22151.591999999997,5198.410000000001
6569.092799999999,11563.810000000001
29942.8416,3500.9700000000003
4735.857599999999,3607.0600000000004
19096.199999999997,8593.289999999999
6569.092799999999,11457.720000000001
16957.4256,4031.42
4735.857599999999,15595.230000000001
5499.7056,5198.410000000001
10846.6416,5304.5
5652.4752,8275.02
4583.088,10078.550000000001
4888.6272,3607.0600000000004
