N5325BAINITE,N5440MARTENSITE
5041.3967999999995,34797.520000000004
17110.1952,4137.51
5958.014399999999,4455.780000000001
10541.102399999998,9335.920000000002
4735.857599999999,6471.490000000001
5194.166399999999,4667.960000000001
12527.107199999999,5834.95
4735.857599999999,3288.7900000000004
5346.935999999999,8805.470000000001
10388.332799999998,5728.860000000001
15888.0384,14428.240000000002
17568.503999999997,6047.13
9166.176,6683.670000000001
5194.166399999999,7638.4800000000005
5805.2447999999995,23233.710000000003
9471.715199999999,3713.15
6110.784,3500.9700000000003
4583.088,8168.930000000001
5041.3967999999995,5941.040000000001
5194.166399999999,8062.84
10235.563199999999,7320.210000000001
15124.1904,3713.15
9013.4064,10609.0
5194.166399999999,3288.7900000000004
5499.7056,14428.240000000002
11916.028799999998,3394.88
6721.8624,9017.65
4735.857599999999,3394.88
6110.784,7108.030000000001
6874.632,10290.730000000001
6874.632,3819.2400000000002
9777.2544,5834.95
5194.166399999999,3713.15
11152.1808,4137.51
11457.72,5516.68
6263.553599999999,3394.88
5041.3967999999995,5834.95
51483.3552,3925.3300000000004
4888.6272,8168.930000000001
20623.896,3925.3300000000004
27651.297599999998,23445.89
12068.7984,11351.630000000001
7332.9408,7426.3
12985.416,3500.9700000000003
8555.0976,3288.7900000000004
6263.553599999999,3713.15
18790.660799999998,4137.51
8249.5584,10927.27
11916.028799999998,4455.780000000001
8555.0976,6895.85
5346.935999999999,9548.1
12221.568,4774.05
5194.166399999999,11245.540000000003
9471.715199999999,6259.31
6874.632,5622.770000000001
7485.7104,3288.7900000000004
5346.935999999999,11139.45
28415.145599999996,3500.9700000000003
6263.553599999999,5410.590000000001
6721.8624,10184.640000000001
9930.024,3288.7900000000004
6721.8624,4031.42
8096.788799999999,12200.35
20012.8176,3182.7000000000003
20165.587199999998,9229.830000000002
4583.088,4455.780000000001
5346.935999999999,4137.51
5652.4752,9017.65
14513.111999999997,31084.370000000003
6569.092799999999,9548.1
6569.092799999999,6577.580000000001
5652.4752,6789.76
6110.784,9760.28
7180.171199999999,10184.640000000001
5194.166399999999,14322.15
10541.102399999998,5834.95
10082.793599999999,3394.88
4735.857599999999,3607.0600000000004
9471.715199999999,4031.42
5805.2447999999995,3607.0600000000004
8555.0976,4243.6
16651.8864,4349.6900000000005
6721.8624,4031.42
10999.4112,19096.2
5041.3967999999995,3819.2400000000002
5499.7056,13791.7
24901.444799999997,19202.29
7332.9408,3500.9700000000003
7638.48,5092.320000000001
6874.632,5198.410000000001
4735.857599999999,15701.320000000002
4583.088,3288.7900000000004
5041.3967999999995,4137.51
7944.0192,7214.120000000001
21234.9744,13261.25
9166.176,13685.61
17721.2736,5410.590000000001
8096.788799999999,6047.13
13749.264,17929.210000000003
8555.0976,9654.19
6721.8624,4880.14
7027.401599999999,3288.7900000000004
13596.4944,7638.4800000000005
5346.935999999999,5304.5
7944.0192,8275.02
4888.6272,14109.970000000001
5041.3967999999995,9654.19
7027.401599999999,6895.85
6569.092799999999,3713.15
16193.577599999999,13367.340000000002
9777.2544,4667.960000000001
8555.0976,5941.040000000001
5652.4752,22384.99
8707.867199999999,3500.9700000000003
10235.563199999999,10715.090000000002
5194.166399999999,4243.6
10235.563199999999,6153.220000000001
7485.7104,15170.87
10999.4112,3925.3300000000004
6721.8624,10715.090000000002
8096.788799999999,5622.770000000001
9013.4064,6259.31
10999.4112,4986.2300000000005
11916.028799999998,10290.730000000001
8249.5584,5622.770000000001
5805.2447999999995,22172.81
4583.088,3713.15
11610.489599999999,4986.2300000000005
12221.568,6577.580000000001
4888.6272,11669.9
18026.8128,16337.860000000002
6874.632,4243.6
38803.47839999999,5516.68
5805.2447999999995,6365.400000000001
6569.092799999999,4880.14
8096.788799999999,13473.430000000002
5499.7056,5834.95
21540.5136,4349.6900000000005
6569.092799999999,10184.640000000001
12679.876799999998,18671.840000000004
15429.729599999999,5304.5
14360.342399999998,4137.51
5958.014399999999,9866.37
10235.563199999999,42542.090000000004
9318.9456,5092.320000000001
4888.6272,13579.52
14665.8816,20157.100000000002
6721.8624,10184.640000000001
5194.166399999999,11351.630000000001
8402.328,5728.860000000001
8707.867199999999,17504.850000000002
4735.857599999999,6683.670000000001
11763.259199999999,9972.460000000001
5652.4752,3288.7900000000004
6569.092799999999,8593.289999999999
11304.9504,14109.970000000001
7180.171199999999,6789.76
5652.4752,3607.0600000000004
10388.332799999998,14958.690000000002
6721.8624,6259.31
4735.857599999999,4561.87
29178.993599999998,5516.68
7485.7104,7956.75
4583.088,5198.410000000001
11457.72,7744.570000000001
7944.0192,6365.400000000001
10388.332799999998,4986.2300000000005
5805.2447999999995,9972.460000000001
19554.5088,3288.7900000000004
17262.964799999998,3819.2400000000002
10388.332799999998,9442.01
5346.935999999999,5410.590000000001
7791.249599999999,5622.770000000001
6721.8624,5834.95
5346.935999999999,8168.930000000001
5652.4752,11563.810000000001
6874.632,3394.88
4735.857599999999,4880.14
10235.563199999999,3819.2400000000002
8707.867199999999,6683.670000000001
8555.0976,12730.800000000001
11152.1808,4667.960000000001
17415.734399999998,6047.13
8707.867199999999,8805.470000000001
14665.8816,8168.930000000001
7638.48,5834.95
20165.587199999998,13897.790000000003
6874.632,5728.860000000001
6721.8624,3500.9700000000003
5499.7056,5198.410000000001
10082.793599999999,3607.0600000000004
7791.249599999999,4349.6900000000005
13138.185599999999,3394.88
19401.739199999996,9335.920000000002
10541.102399999998,3288.7900000000004
14054.803199999998,11563.810000000001
11457.72,3288.7900000000004
8707.867199999999,31296.55
11763.259199999999,4349.6900000000005
12679.876799999998,3819.2400000000002
10388.332799999998,3288.7900000000004
6416.3232,3925.3300000000004
5194.166399999999,5622.770000000001
4583.088,3500.9700000000003
5805.2447999999995,9442.01
10693.871999999998,13049.070000000002
6416.3232,5941.040000000001
8249.5584,5198.410000000001
29637.3024,5092.320000000001
8555.0976,5516.68
8707.867199999999,12730.800000000001
7332.9408,6577.580000000001
10388.332799999998,6577.580000000001
15582.499199999998,3500.9700000000003
7791.249599999999,9017.65
16804.656,6895.85
7791.249599999999,4137.51
6416.3232,5728.860000000001
8249.5584,11139.45
7638.48,31933.090000000004
8555.0976,5198.410000000001
5499.7056,3925.3300000000004
5346.935999999999,6471.490000000001
8402.328,4986.2300000000005
4583.088,4561.87
9471.715199999999,4986.2300000000005
10693.871999999998,9335.920000000002
5041.3967999999995,4349.6900000000005
5958.014399999999,8699.380000000001
5652.4752,7001.9400000000005
12832.6464,8593.289999999999
9471.715199999999,5728.860000000001
14665.8816,6471.490000000001
7638.48,4986.2300000000005
12985.416,6259.31
12221.568,6259.31
10693.871999999998,4986.2300000000005
7638.48,4455.780000000001
7791.249599999999,4031.42
14207.572799999998,4667.960000000001
6263.553599999999,6259.31
14971.4208,6365.400000000001
10693.871999999998,4349.6900000000005
5194.166399999999,3288.7900000000004
7027.401599999999,4561.87
14207.572799999998,11775.990000000002
7638.48,8275.02
13902.033599999999,3713.15
7791.249599999999,6471.490000000001
6110.784,10609.0
10235.563199999999,4667.960000000001
6874.632,5834.95
17415.734399999998,5941.040000000001
7791.249599999999,4349.6900000000005
14665.8816,9654.19
5499.7056,3288.7900000000004
7638.48,7214.120000000001
5805.2447999999995,5516.68
5958.014399999999,3607.0600000000004
9166.176,7850.660000000001
9166.176,16762.22
5194.166399999999,3288.7900000000004
5805.2447999999995,28432.120000000003
8555.0976,5410.590000000001
8860.6368,3394.88
6721.8624,11351.630000000001
16346.3472,3394.88
4583.088,8805.470000000001
4735.857599999999,5834.95
6416.3232,4455.780000000001
6110.784,10078.550000000001
16804.656,16125.68
4888.6272,5092.320000000001
7485.7104,4349.6900000000005
6110.784,4774.05
9471.715199999999,5410.590000000001
10082.793599999999,8487.2
9013.4064,18565.750000000004
8096.788799999999,11669.9
5041.3967999999995,6471.490000000001
15276.96,19308.38
7791.249599999999,3607.0600000000004
4735.857599999999,8062.84
4735.857599999999,7001.9400000000005
7638.48,8487.2
20012.8176,3288.7900000000004
6874.632,3182.7000000000003
27345.758399999995,7532.390000000001
7180.171199999999,19096.2
17874.0432,5304.5
6721.8624,6577.580000000001
5346.935999999999,6471.490000000001
6874.632,4667.960000000001
7332.9408,16762.22
6416.3232,4986.2300000000005
5958.014399999999,7108.030000000001
27345.758399999995,20263.19
10082.793599999999,5516.68
10388.332799999998,4561.87
16804.656,10821.180000000002
5346.935999999999,3182.7000000000003
6874.632,12094.26
4888.6272,7956.75
7485.7104,22278.9
8707.867199999999,4880.14
6569.092799999999,4031.42
4888.6272,10821.180000000002
4583.088,4243.6
7027.401599999999,4031.42
10541.102399999998,3394.88
16346.3472,7426.3
4583.088,5728.860000000001
6569.092799999999,3288.7900000000004
8707.867199999999,5516.68
4583.088,6365.400000000001
8707.867199999999,8275.02
13443.7248,7426.3
6263.553599999999,11775.990000000002
10082.793599999999,9760.28
7485.7104,3607.0600000000004
9777.2544,8487.2
4735.857599999999,11245.540000000003
7332.9408,9548.1
10235.563199999999,4774.05
8860.6368,6365.400000000001
8096.788799999999,12306.440000000002
4583.088,7320.210000000001
29178.993599999998,4031.42
9777.2544,4561.87
4583.088,4561.87
7638.48,4243.6
9777.2544,4031.42
8249.5584,38722.850000000006
12527.107199999999,5516.68
15888.0384,3607.0600000000004
5041.3967999999995,4880.14
6569.092799999999,7001.9400000000005
4735.857599999999,6259.31
16651.8864,6365.400000000001
9930.024,5728.860000000001
6721.8624,3713.15
14971.4208,7956.75
17721.2736,6047.13
5346.935999999999,4986.2300000000005
6416.3232,3713.15
5346.935999999999,5198.410000000001
6263.553599999999,11563.810000000001
20776.665599999997,3500.9700000000003
7332.9408,8593.289999999999
22151.591999999997,11457.720000000001
6569.092799999999,4031.42
29942.8416,15595.230000000001
4735.857599999999,5198.410000000001
19096.199999999997,5304.5
6569.092799999999,4243.6
16957.4256,8275.02
4735.857599999999,10078.550000000001
5499.7056,3607.0600000000004
10846.6416,7532.390000000001
5652.4752,18990.11
4583.088,3607.0600000000004
4888.6272,4243.6
